user_id,vertical,sessions_per_week,probability_of_conversion,dropoff_step,likelihood_of_repeat_usage,avg_order_value,payment_failures,cross_vertical_usage,time_of_day,location_cluster
U0031,food,13,0.15,payment,0.3,28.71,0,1,night,university_zone
U0032,payments,4,0.11,search,0.51,14.93,2,1,afternoon,business_district
U0033,food,6,0.4,checkout_step2,0.7,50.88,5,3,morning,university_zone
U0034,food,22,0.13,search,0.26,71.73,5,3,afternoon,business_district
U0035,food,20,0.22,details,0.2,52.57,2,3,night,business_district
U0036,rides,3,0.56,details,0.04,30.02,1,3,evening,suburb
U0037,payments,15,0.49,checkout_step1,0.56,13.39,5,1,morning,business_district
U0038,payments,18,0.17,search,0.04,32.35,0,2,afternoon,suburb
U0039,payments,4,0.33,checkout_step2,0.88,35.48,4,3,afternoon,suburb
U0040,rides,6,0.76,home,0.18,74.34,3,3,afternoon,business_district
U0041,rides,23,0.14,home,0.86,21.68,3,2,evening,suburb
U0042,rides,1,0.58,checkout_step1,0.33,69.83,2,2,night,university_zone
U0043,food,1,0.14,details,0.18,77.19,2,1,morning,university_zone
U0044,food,12,0.63,details,0.44,78.82,0,2,afternoon,business_district
U0045,rides,23,0.4,checkout_step2,0.93,45.38,5,3,afternoon,business_district
U0046,food,3,0.81,details,0.62,54.75,0,3,evening,university_zone
U0047,food,22,0.38,checkout_step1,0.7,46.58,1,2,night,suburb
U0048,payments,19,0.29,checkout_step2,0.83,27.79,1,2,evening,residential
U0049,food,15,0.59,checkout_step2,0.47,72.59,5,1,morning,business_district
U0050,payments,22,0.56,details,0.09,76.4,1,3,evening,suburb
U0051,rides,5,0.07,search,0.98,50.85,0,2,night,university_zone
U0052,rides,23,0.61,checkout_step1,0.4,16.07,5,1,morning,residential
U0053,rides,6,0.69,payment,0.52,8.77,1,1,night,suburb
U0054,food,22,0.47,checkout_step2,0.6,76.25,3,3,night,university_zone
U0055,food,6,0.64,checkout_step1,0.45,61.38,5,2,night,suburb
U0056,food,15,0.11,details,0.23,30.19,4,1,afternoon,suburb
U0057,rides,13,0.61,payment,0.21,36.12,2,3,night,residential
U0058,rides,7,0.72,checkout_step1,0.9,48.81,5,1,night,residential
U0059,rides,12,0.29,checkout_step1,0.85,76.51,3,3,afternoon,residential
U0060,rides,9,0.4,home,0.39,55.17,3,3,afternoon,residential
U0061,rides,20,0.48,checkout_step1,0.59,54.72,0,3,night,suburb
U0062,food,6,0.09,checkout_step1,0.33,39.1,2,2,evening,residential
U0063,food,3,0.43,payment,0.54,79.99,2,1,morning,downtown
U0064,rides,8,0.21,home,0.62,22.89,3,3,morning,university_zone
U0065,rides,15,0.61,details,0.17,50.54,5,3,morning,suburb
U0066,food,4,0.51,details,0.58,73.1,3,2,afternoon,downtown
U0067,payments,23,0.71,search,0.1,62.94,5,3,morning,university_zone
U0068,rides,12,0.48,payment,0.37,42.95,2,1,night,residential
U0069,rides,14,0.82,payment,0.89,39.48,1,2,afternoon,university_zone
U0070,payments,9,0.54,checkout_step2,0.77,39.87,5,3,evening,business_district
U0071,rides,3,0.27,checkout_step1,0.24,39.85,4,3,night,business_district
U0072,rides,16,0.73,search,0.49,31.61,2,2,evening,university_zone
U0073,payments,9,0.49,checkout_step2,0.95,11.42,5,2,night,university_zone
U0074,rides,23,0.43,payment,0.49,64.47,0,2,afternoon,residential
U0075,payments,8,0.29,checkout_step2,0.37,46.51,2,2,evening,business_district
U0076,payments,15,0.27,details,0.23,59.1,2,1,afternoon,suburb
U0077,rides,24,0.44,payment,0.59,62.02,4,2,morning,suburb
U0078,food,8,0.34,details,0.01,45.06,2,1,morning,university_zone
U0079,food,23,0.81,payment,0.87,41.82,0,3,evening,residential
U0080,food,15,0.32,home,0.25,69.63,0,1,night,residential
U0081,rides,19,0.55,home,0.15,65.84,2,1,afternoon,downtown
U0082,payments,25,0.38,checkout_step2,0.79,21.93,4,2,night,residential
U0083,food,19,0.84,details,0.57,9.52,5,1,afternoon,suburb
U0084,food,22,0.11,search,0.17,10.63,0,2,night,university_zone
U0085,food,10,0.08,details,0.71,57.72,3,1,afternoon,business_district
U0086,payments,19,0.58,search,0.43,45.84,5,1,evening,suburb
U0087,rides,2,0.18,details,0.6,66.82,2,2,morning,residential
U0088,payments,10,0.61,details,0.5,42.03,0,3,morning,residential
U0089,payments,11,0.53,home,0.09,77.14,4,3,morning,business_district
U0090,payments,2,0.66,search,0.47,53.86,2,1,night,residential
U0091,rides,16,0.33,details,0.32,12.84,1,2,night,residential
U0092,food,22,0.81,checkout_step2,0.04,11.6,2,2,morning,residential
U0093,payments,1,0.58,checkout_step2,0.46,9.07,4,2,night,residential
U0094,rides,7,0.26,search,0.93,37.86,5,2,morning,downtown
U0095,payments,20,0.69,payment,0.16,46.31,4,2,morning,suburb
U0096,rides,15,0.81,payment,0.83,42.38,5,2,evening,residential
U0097,food,16,0.24,checkout_step2,0.14,19.3,4,3,afternoon,downtown
U0098,food,25,0.68,checkout_step1,0.34,64.08,2,1,evening,business_district
U0099,payments,19,0.85,checkout_step1,0.87,38.49,3,2,evening,university_zone
U0100,payments,13,0.41,details,0.87,78.56,1,3,night,suburb
U0101,food,2,0.3,checkout_step1,0.71,65.86,3,3,afternoon,residential
U0102,rides,5,0.45,checkout_step2,0.33,12.53,3,1,night,downtown
U0103,payments,5,0.38,payment,0.97,10.61,2,2,night,downtown
U0104,food,22,0.74,checkout_step1,0.95,52.01,3,3,morning,university_zone
U0105,rides,8,0.55,details,1,61.01,3,1,morning,residential
U0106,rides,23,0.29,home,0.05,64.71,2,2,evening,residential
U0107,rides,8,0.47,checkout_step2,0.68,18.5,1,1,night,university_zone
U0108,payments,8,0.45,checkout_step2,0.14,39.59,2,2,evening,downtown
U0109,food,10,0.59,search,0.07,75.89,4,2,night,business_district
U0110,food,10,0.21,checkout_step1,0.85,13,3,3,evening,university_zone
U0111,food,23,0.29,payment,0.4,5.61,5,3,morning,university_zone
U0112,payments,16,0.72,details,0.78,22.26,2,1,afternoon,university_zone
U0113,food,22,0.65,payment,0.68,15.26,0,3,morning,business_district
U0114,food,2,0.51,payment,0.13,73.22,2,3,night,suburb
U0115,rides,5,0.68,details,0.53,73.51,1,2,night,business_district
U0116,payments,11,0.69,checkout_step1,0.96,15.56,1,3,night,university_zone
U0117,food,3,0.68,home,0.26,14.27,2,3,evening,university_zone
U0118,food,21,0.8,home,0.67,40.36,4,3,evening,university_zone
U0119,rides,21,0.1,checkout_step1,0.91,27.66,3,1,afternoon,downtown
U0120,rides,10,0.85,home,0.1,71.54,1,2,night,business_district
U0121,payments,24,0.61,checkout_step2,0.42,60.67,1,2,morning,residential
U0122,payments,14,0.8,details,0.03,32.79,3,2,afternoon,business_district
U0123,rides,22,0.34,payment,0.36,34.86,1,1,night,downtown
U0124,payments,7,0.56,checkout_step2,0.97,8.79,2,1,afternoon,university_zone
U0125,rides,3,0.71,checkout_step2,0.21,21.2,1,2,afternoon,university_zone
U0126,rides,9,0.74,search,0.99,45.52,1,1,morning,suburb
U0127,rides,12,0.68,search,0.59,6.18,2,1,afternoon,residential
U0128,payments,4,0.65,checkout_step1,0.45,32.15,4,1,night,university_zone
U0129,rides,20,0.08,payment,0.52,39.35,0,1,night,residential
U0130,food,22,0.14,payment,0.91,10.51,0,2,afternoon,downtown
U0131,rides,9,0.55,checkout_step2,0.55,29.39,4,3,evening,residential
U0132,payments,20,0.39,payment,0.11,54.1,4,3,afternoon,residential
U0133,food,8,0.38,checkout_step1,0.4,59.72,2,2,evening,business_district
U0134,food,5,0.6,checkout_step1,0.07,67.38,0,2,morning,business_district
U0135,rides,18,0.1,checkout_step2,0.56,55.25,3,2,night,downtown
U0136,food,20,0.3,home,0.58,20.96,5,2,afternoon,downtown
U0137,food,18,0.34,details,0.57,65.54,4,3,morning,university_zone
U0138,payments,23,0.26,search,0.27,62.18,2,2,morning,suburb
U0139,rides,19,0.58,home,0.14,52.49,0,1,afternoon,residential
U0140,food,15,0.32,details,0.31,29.33,4,3,morning,downtown
U0141,rides,6,0.65,home,0.67,25.41,5,2,night,university_zone
U0142,food,14,0.27,checkout_step2,0.11,37.24,2,3,night,university_zone
U0143,payments,10,0.09,checkout_step1,0.98,9.11,1,2,afternoon,suburb
U0144,food,10,0.31,home,0.5,37.3,1,2,afternoon,university_zone
U0145,payments,22,0.69,home,0.4,60.65,3,1,night,downtown
U0146,food,19,0.39,checkout_step1,0.71,36.33,0,2,morning,business_district
U0147,rides,20,0.42,payment,0.92,11.61,0,1,night,university_zone
U0148,food,17,0.11,details,0.75,21.62,1,1,morning,university_zone
U0149,payments,7,0.77,details,0.35,76.87,5,1,afternoon,downtown
U0150,rides,9,0.21,checkout_step2,0.15,61.94,0,1,night,residential
U0151,payments,25,0.51,payment,0.92,47.34,5,3,evening,business_district
U0152,rides,15,0.1,checkout_step1,0.63,64.72,4,1,evening,university_zone
U0153,rides,10,0.42,home,0.06,67.38,0,3,morning,university_zone
U0154,payments,17,0.36,checkout_step2,0.55,64.39,0,2,afternoon,business_district
U0155,payments,16,0.45,home,0.45,65.82,2,3,morning,university_zone
U0156,payments,6,0.08,payment,0.44,37.96,4,3,afternoon,business_district
U0157,food,10,0.36,details,0.68,8.93,5,3,evening,downtown
U0158,food,4,0.5,checkout_step1,0.28,59.28,5,3,afternoon,business_district
U0159,rides,19,0.58,details,0.31,54.2,5,2,afternoon,university_zone
U0160,payments,3,0.3,checkout_step1,0.64,29.64,1,3,morning,residential
U0161,payments,12,0.06,details,0.18,21.06,3,1,afternoon,suburb
U0162,rides,3,0.29,home,0.51,45.48,5,3,morning,business_district
U0163,payments,5,0.53,search,0.16,67.35,4,1,night,downtown
U0164,food,12,0.59,search,0.97,50.79,5,2,afternoon,university_zone
U0165,rides,10,0.82,checkout_step1,0.9,19.55,5,3,night,residential
U0166,food,25,0.36,checkout_step2,0.42,17.15,1,3,afternoon,business_district
U0167,rides,21,0.43,details,0.55,12.69,4,1,evening,downtown
U0168,rides,9,0.41,checkout_step2,0.15,37.81,1,2,evening,downtown
U0169,food,2,0.37,details,0.24,79.59,2,1,morning,business_district
U0170,rides,23,0.57,search,0.14,26.52,3,3,afternoon,residential
U0171,food,20,0.05,home,0.02,21.17,1,3,night,downtown
U0172,food,8,0.29,home,0.24,52.92,4,2,morning,downtown
U0173,food,20,0.48,payment,0.52,23.15,1,2,night,downtown
U0174,payments,12,0.24,checkout_step1,0.19,55.12,4,2,morning,university_zone
U0175,payments,17,0.68,checkout_step2,0.55,34.28,3,1,night,business_district
U0176,food,24,0.06,home,0.34,59.97,5,1,evening,suburb
U0177,rides,12,0.49,payment,0.18,63.44,3,3,night,suburb
U0178,rides,3,0.62,checkout_step1,0.04,20.12,1,1,evening,business_district
U0179,payments,13,0.84,checkout_step2,0.47,7.75,5,1,evening,business_district
U0180,rides,21,0.32,home,0.8,37.77,3,3,night,residential
U0181,food,6,0.45,checkout_step1,0.37,64.8,2,1,night,downtown
U0182,food,20,0.85,search,0.55,29.09,0,2,evening,business_district
U0183,food,20,0.62,search,0.69,31.37,0,3,evening,university_zone
U0184,food,9,0.56,home,0.08,52.81,2,3,afternoon,downtown
U0185,rides,20,0.59,checkout_step1,0.03,10.04,5,2,evening,residential
U0186,payments,2,0.53,payment,0.45,32.82,3,1,afternoon,university_zone
U0187,food,13,0.3,details,0.25,13.51,5,1,night,university_zone
U0188,food,18,0.14,details,0.7,21.09,4,2,night,suburb
U0189,rides,5,0.73,checkout_step1,0.17,58.5,0,3,evening,business_district
U0190,payments,3,0.49,details,0.89,68.85,5,3,afternoon,business_district
U0191,payments,8,0.15,search,0.79,22.76,3,1,evening,university_zone
U0192,payments,12,0.42,checkout_step2,0.13,71.32,0,2,night,residential
U0193,payments,14,0.67,checkout_step2,0.07,77.93,5,1,night,residential
U0194,payments,17,0.33,checkout_step2,0.64,18.65,1,2,morning,downtown
U0195,payments,5,0.29,search,0.32,58.2,2,3,evening,downtown
U0196,food,7,0.56,checkout_step2,0.27,51.88,4,3,morning,university_zone
U0197,payments,6,0.52,checkout_step2,0.15,54.4,5,3,evening,university_zone
U0198,rides,1,0.11,payment,0.77,24.85,1,3,night,university_zone
U0199,payments,1,0.45,payment,0.55,53.14,2,2,afternoon,residential
U0200,food,15,0.11,home,0.16,36.17,3,1,evening,university_zone
U0201,rides,11,0.74,details,0.73,69.56,3,1,evening,university_zone
U0202,payments,4,0.31,checkout_step1,0.12,38.72,1,1,morning,business_district
U0203,food,20,0.38,search,0.81,75.03,5,2,afternoon,suburb
U0204,food,17,0.42,details,0.5,11.75,3,3,night,suburb
U0205,rides,19,0.33,home,0.28,49.81,5,3,night,business_district
U0206,payments,1,0.73,checkout_step1,0.13,24.84,2,2,evening,downtown
U0207,food,2,0.51,search,0.36,26.65,3,3,night,university_zone
U0208,food,20,0.59,home,0.13,12.25,2,2,evening,suburb
U0209,rides,20,0.46,checkout_step2,0.04,7.92,5,2,night,university_zone
U0210,food,5,0.54,checkout_step2,0.14,74.85,2,1,night,university_zone
U0211,payments,10,0.52,checkout_step2,0.83,44.93,5,3,evening,residential
U0212,rides,12,0.31,home,0.98,48.78,5,3,morning,university_zone
U0213,food,9,0.82,checkout_step2,0.58,59.11,4,2,afternoon,university_zone
U0214,payments,24,0.55,checkout_step1,0.15,56.05,0,3,morning,suburb
U0215,rides,15,0.3,search,0.41,20.29,4,3,night,downtown
U0216,payments,5,0.46,checkout_step2,0.33,54.67,4,2,evening,suburb
U0217,food,18,0.32,details,0.68,70.07,5,3,evening,university_zone
U0218,food,7,0.82,details,0.56,21.87,2,2,afternoon,residential
U0219,food,16,0.33,payment,0.27,14.14,5,3,night,residential
U0220,food,25,0.69,details,0.04,76.65,0,2,night,business_district
U0221,payments,16,0.22,checkout_step2,0.27,47.15,2,1,morning,university_zone
U0222,payments,19,0.24,home,0.67,44.83,5,1,morning,downtown
U0223,food,11,0.62,home,0.68,15.31,4,1,night,residential
U0224,food,21,0.21,details,0.32,53.44,0,3,afternoon,university_zone
U0225,payments,24,0.73,home,0.91,18.13,1,1,night,residential
U0226,rides,24,0.82,details,0.88,5.7,4,3,morning,business_district
U0227,food,15,0.84,checkout_step2,0.52,71.69,1,3,night,business_district
U0228,rides,4,0.31,payment,0.46,24.29,1,1,evening,business_district
U0229,payments,22,0.66,search,0.61,52.9,3,2,evening,downtown
U0230,food,22,0.13,search,0.48,75.19,0,2,night,suburb
U0231,food,25,0.26,details,0.3,59.22,0,2,evening,suburb
U0232,rides,22,0.14,details,0.16,56.46,5,2,morning,business_district
U0233,food,20,0.23,search,0.48,39.12,4,2,night,university_zone
U0234,food,25,0.48,payment,0.83,62.14,5,3,morning,university_zone
U0235,food,17,0.61,home,0.92,13.42,4,3,afternoon,university_zone
U0236,payments,5,0.18,checkout_step2,0.44,56.02,5,3,night,downtown
U0237,payments,15,0.7,checkout_step1,0.13,36.16,4,1,night,business_district
U0238,payments,1,0.37,home,0.75,48.37,0,2,evening,downtown
U0239,payments,2,0.8,home,0.99,40.41,2,2,afternoon,suburb
U0240,payments,24,0.57,checkout_step1,0.37,71.85,3,2,night,downtown
U0241,payments,22,0.75,search,0.65,31.08,1,3,night,university_zone
U0242,rides,24,0.83,home,0.76,78.39,3,3,night,university_zone
U0243,food,8,0.25,details,0.16,19.14,5,1,morning,residential
U0244,payments,25,0.8,home,0.24,10.05,4,1,night,university_zone
U0245,payments,23,0.75,search,0.74,35.17,1,3,afternoon,downtown
U0246,rides,17,0.84,search,0.82,59.86,2,3,evening,suburb
U0247,food,5,0.84,checkout_step2,0.22,27.54,0,3,afternoon,residential
U0248,payments,16,0.09,details,0.94,55.35,4,2,night,residential
U0249,rides,10,0.35,checkout_step2,0.47,68.7,2,3,afternoon,residential
U0250,rides,18,0.38,checkout_step1,0.56,15.06,1,2,afternoon,business_district
U0251,payments,3,0.79,details,0.09,59.34,1,1,evening,residential
U0252,payments,20,0.53,home,0.19,62.13,5,3,afternoon,residential
U0253,rides,11,0.29,home,0.21,19.25,5,1,night,suburb
U0254,payments,20,0.61,checkout_step1,0.92,46.41,2,2,night,university_zone
U0255,payments,12,0.3,details,0.51,42.3,0,3,night,business_district
U0256,rides,12,0.3,home,0.56,21.6,1,1,evening,university_zone
U0257,payments,19,0.63,details,0.15,29.74,3,3,afternoon,residential
U0258,payments,21,0.8,details,0.26,66.62,5,3,night,residential
U0259,rides,24,0.69,search,0.14,45.99,1,3,morning,university_zone
U0260,rides,3,0.81,payment,0.05,5.48,1,3,afternoon,downtown
U0261,payments,5,0.06,checkout_step2,0.46,9.53,5,3,night,residential
U0262,rides,1,0.48,checkout_step1,0.01,44.71,2,3,evening,downtown
U0263,payments,23,0.59,search,0.11,12.22,1,1,afternoon,university_zone
U0264,payments,9,0.7,details,0.79,10.93,3,2,afternoon,suburb
U0265,food,22,0.71,home,0.65,69.37,0,1,night,residential
U0266,food,18,0.43,payment,0.01,17.85,3,2,evening,university_zone
U0267,rides,17,0.79,search,0.21,70.11,4,2,evening,downtown
U0268,rides,22,0.79,checkout_step2,0.56,7.47,2,1,afternoon,university_zone
U0269,rides,25,0.71,checkout_step1,0.93,27.45,4,1,night,university_zone
U0270,food,13,0.65,search,0.79,56.7,0,3,evening,downtown
U0271,rides,14,0.24,home,0.34,62.68,4,2,evening,downtown
U0272,payments,9,0.68,checkout_step1,0.49,31.69,3,2,afternoon,university_zone
U0273,payments,13,0.12,checkout_step2,0.3,23.48,0,1,evening,suburb
U0274,food,23,0.68,search,0.74,28.75,0,1,morning,business_district
U0275,food,12,0.66,home,0.13,19.05,3,3,night,downtown
U0276,rides,3,0.33,home,0.6,63.83,3,1,evening,residential
U0277,food,25,0.12,checkout_step2,0.91,78.36,4,3,afternoon,residential
U0278,rides,5,0.27,details,0.49,9.75,3,2,night,business_district
U0279,food,3,0.34,search,0.72,42.19,4,1,night,downtown
U0280,rides,10,0.06,checkout_step1,0.33,51.51,2,2,evening,residential
U0281,payments,20,0.16,details,0.6,57.15,3,2,afternoon,residential
U0282,food,10,0.64,payment,0.49,48.19,1,2,night,business_district
U0283,food,12,0.14,checkout_step2,0.2,79.79,1,3,morning,residential
U0284,payments,7,0.4,details,0.83,10.19,3,3,night,suburb
U0285,payments,10,0.24,payment,0.15,36.73,3,1,night,university_zone
U0286,food,19,0.37,checkout_step2,0.92,70.22,3,3,morning,business_district
U0287,payments,18,0.53,home,0.11,23.62,5,2,afternoon,university_zone
U0288,rides,19,0.84,payment,0.65,77.51,2,2,morning,downtown
U0289,rides,9,0.23,payment,0.52,48.54,4,1,night,business_district
U0290,food,15,0.67,checkout_step2,0.69,16.31,0,2,morning,business_district
U0291,food,3,0.14,payment,0.14,28.39,3,1,night,business_district
U0292,food,4,0.4,payment,0.45,10.04,0,3,morning,downtown
U0293,food,21,0.14,search,0.93,60.54,4,1,afternoon,business_district
U0294,payments,14,0.82,search,0.8,52.23,1,3,night,residential
U0295,rides,24,0.54,search,0.45,37.22,0,3,afternoon,suburb
U0296,food,25,0.61,home,0.58,64.96,4,1,evening,business_district
U0297,rides,15,0.14,payment,0.86,44.58,5,2,night,university_zone
U0298,food,19,0.14,details,0.85,51.3,5,3,evening,university_zone
U0299,payments,3,0.59,details,0.12,27.9,1,2,afternoon,university_zone
U0300,food,14,0.53,checkout_step2,0.38,18.93,5,3,afternoon,university_zone
